,民國110年第3季,民國110年第3季,民國110年第3季,民國110年第3季,民國110年第3季,民國110年第3季,民國110年第3季,民國110年第3季,民國110年第3季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,110年09月30日,110年09月30日,109年12月31日,109年12月31日,109年09月30日,109年09月30日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,113104860.0,26.38,94048036.0,24.91,98839079.0,26.84,,
2,透過損益按公允價值衡量之金融資產－流動,939421.0,0.22,1216634.0,0.32,916078.0,0.25,,
3,透過其他綜合損益按公允價值衡量之金融資產－流動,6452239.0,1.5,0.0,0.0,0.0,0.0,,
4,合約資產－流動,249928.0,0.06,257841.0,0.07,332425.0,0.09,,
5,應收票據淨額,66.0,0.0,0.0,0.0,0.0,0.0,,
6,應收帳款淨額,32737635.0,7.63,27094355.0,7.18,26584696.0,7.22,,
7,應收帳款－關係人淨額,247842.0,0.06,178918.0,0.05,373962.0,0.1,,
8,其他應收款淨額,1134969.0,0.26,1668874.0,0.44,751060.0,0.2,,
9,本期所得稅資產,6994.0,0.0,37598.0,0.01,37569.0,0.01,,
10,存貨,23149692.0,5.4,22552486.0,5.97,22863410.0,6.21,,
11,預付款項,2169867.0,0.51,2324838.0,0.62,1975078.0,0.54,,
12,其他流動資產,31409913.0,7.33,14926331.0,3.95,10803531.0,2.93,,
13,流動資產合計,211603426.0,49.35,164305911.0,43.52,163476888.0,44.39,,
14,非流動資產,,,,,,,,
15,透過損益按公允價值衡量之金融資產－非流動,17286421.0,4.03,14826087.0,3.93,13531436.0,3.67,,
16,透過其他綜合損益按公允價值衡量之金融資產－非流動,7209128.0,1.68,10526144.0,2.79,7957265.0,2.16,,
17,採用權益法之投資,38321811.0,8.94,31225677.0,8.27,25445556.0,6.91,,
18,不動產、廠房及設備,125701909.0,29.32,132774663.0,35.17,132662133.0,36.03,,
19,使用權資產,7238525.0,1.69,7748042.0,2.05,7901188.0,2.15,,
20,無形資產,4191725.0,0.98,4877913.0,1.29,4952036.0,1.34,,
21,遞延所得稅資產,5660239.0,1.32,6832711.0,1.81,7175114.0,1.95,,
22,其他非流動資產,11579447.0,2.7,4399227.0,1.17,5142313.0,1.4,,
23,非流動資產合計,217189205.0,50.65,213210464.0,56.48,204767041.0,55.61,,
24,資產總額,428792631.0,100.0,377516375.0,100.0,368243929.0,100.0,,
25,流動負債,,,,,,,,
26,短期借款,2134625.0,0.5,11057132.0,2.93,7571645.0,2.06,,
27,透過損益按公允價值衡量之金融負債－流動,1425772.0,0.33,2326.0,0.0,0.0,0.0,,
28,合約負債－流動,3362279.0,0.78,2040989.0,0.54,1930785.0,0.52,,
29,應付帳款,8263439.0,1.93,7862137.0,2.08,7699086.0,2.09,,
30,其他應付款,25852656.0,6.03,23326657.0,6.18,24139838.0,6.56,,
31,本期所得稅負債,2683988.0,0.63,1050965.0,0.28,1217739.0,0.33,,
32,負債準備－流動,0.0,0.0,0.0,0.0,1749003.0,0.47,,
33,租賃負債－流動,549414.0,0.13,550147.0,0.15,552145.0,0.15,,
34,其他流動負債,40273188.0,9.39,32353173.0,8.57,14290383.0,3.88,,
35,流動負債合計,84545361.0,19.72,78243526.0,20.73,59150624.0,16.06,,
36,非流動負債,,,,,,,,
37,合約負債－非流動,432295.0,0.1,456480.0,0.12,466400.0,0.13,,
38,應付公司債,20082851.0,4.68,16690474.0,4.42,16689830.0,4.53,,
